track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_year,duration_min,genres,record_label,danceability,energy,key_name,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id_1,artist_id,artist_name,artist_followers,artist_popularity
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,a-ha,85,Hunting High and Low,1985,3.75,Pop,Rhino,57.3,90.2,F#,-7.638,Minor,5.4,1.8,0.13,9.28,87.6,84,4,2WfaOiMkCvy7F5fcp2zZ8L,[2jzc5TC5TVFLXQlBNiIUzE],[a-ha],[2458169],[73]
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",78,STAY (with Justin Bieber),2021,2.36,Pop,Columbia,59.1,76.4,C#,-5.484,Major,4.83,3.83,0.0,10.3,47.8,170,4,5HCyWlXZPP0y6Gqq8TgA20,"[2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s]","[The Kid LAROI,Justin Bieber]","[5822486,78641625]","[85,91]"
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,86,Long Way Down (Deluxe),2013,4.07,Pop,ITNO/Columbia,44.5,53.7,E,-8.532,Minor,4.0,69.5,0.0,9.44,13.1,123,4,3JvKfv6T31zO0ini8iNItO,[2txHhyCwHjUEpJjWrEyqyX],[Tom Odell],[4028349],[80]
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),"Mark Ronson,Bruno Mars",82,Uptown Special,2015,4.49,Pop,Columbia,85.6,60.9,C,-7.223,Major,8.24,0.8,0.01,3.44,92.8,115,4,32OlwWuMpZ6b0aN2RZOeMS,"[3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C]","[Mark Ronson,Bruno Mars]","[1139799,61970525]","[77,96]"
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,88,Parachutes,2000,4.45,Pop,Parlophone UK,42.9,66.1,B,-7.227,Major,2.81,0.24,0.01,23.4,28.5,173,4,3AJwUDP919kvQ9QcozQPxg,[4gzpq5DPGxSnKTe4SA8HAU],[Coldplay],[54614771],[92]
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,86,Viva La Vida or Death and All His Friends,2008,4.04,Pop,Parlophone UK,48.6,61.7,F,-7.115,Minor,2.87,9.54,0.0,10.9,41.7,138,4,1mea3bSkSGXuIRvnydlB5b,[4gzpq5DPGxSnKTe4SA8HAU],[Coldplay],[54614771],[92]
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,85,A Rush of Blood to the Head,2002,5.16,Pop,Parlophone Records Limited,55.7,44.2,F,-7.224,Major,2.43,73.1,0.0,11.0,21.3,146,4,75JFxkI2RXiU7L9VXzMkle,[4gzpq5DPGxSnKTe4SA8HAU],[Coldplay],[54614771],[92]
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,87,Endless Summer Vacation,2023,3.34,Pop,Columbia,70.6,69.1,C,-4.775,Major,6.33,5.84,0.01,2.32,63.2,118,4,7DSAEUvxU8FajXtRloy8M0,[5YGY8feqx7naU7z4HrwZM6],[Miley Cyrus],[25024026],[84]
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,83,Love In The Future (Expanded Edition),2013,4.49,Pop,G.O.O.D. Music/Columbia,42.2,26.4,G#,-7.064,Major,3.22,92.2,0.0,13.2,33.1,120,4,3U4isOIWM3VvDubwSI3y7a,[5y2Xq6xcjJb2jVM54GHK3t],[John Legend],[7206516],[77]
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,81,"thank u, next",2019,2.98,Pop,Republic Records,77.7,31.7,C#,-10.732,Minor,30.8,59.1,0.0,8.81,33.0,140,4,6ocbgoVGwYJhOv1GgI9NsF,[66CXWjxzNUsdJxJ2JdwvnR],[Ariana Grande],[100973915],[92]
