track_id,track_name,track_album_name,track_artist,artist_gender,track_album_release_year,duration_min,track_popularity,genres,record_label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Playlist_year,artist_id,artist_name,artist_followers,artist_popularity
2JLVZYEMmqPWbUoAJAMKfm,Pick Up Your Feelings,Pick Up Your Feelings,Jazmine Sullivan,F,2 020,3.87,46,Hip Hop,RCA Records Label,72.9,41.4,G,-6.14,Minor,5.65,29.1,0.0,7.93,56.5,86,3,2021,[7gSjFKpVmDgC2MMsnN8CYq],[Jazmine Sullivan],[2103900],[62]
5le4sn0iMcnKU56bdmNzso,Everybody Loves The Sunshine,Everybody Loves The Sunshine (Reissue),Roy Ayers Ubiquity,M,1 976,3.99,62,Soul/Funk/Motown,Universal Records,52.0,57.1,B,-10.33,Minor,3.6,16.8,0.0,17.0,70.1,161,3,2021,[3WbeZvDk1COiO2dEokZqn7],[Roy Ayers Ubiquity],[140856],[50]
5fdjxHzBILxMXRrbbOVupJ,Coyote,Hejira,Joni Mitchell,F,1 976,5.02,45,Folk,Rhino,52.5,55.5,C,-8.74,Major,4.41,84.8,0.02,7.95,57.4,167,4,2021,[5hW4L92KnC6dX9t7tYM4Ve],[Joni Mitchell],[1517253],[63]
2w2nGYcTq7iP1Aj6AI8KIi,Speak Your Mind (from the Netflix Series We The People),Speak Your Mind (from the Netflix Series We The People),Brandi Carlile,F,2 021,3.23,17,Folk,Low Country Sound/Elektra,47.6,66.6,F#,-3.44,Major,4.46,31.4,0.0,34.2,49.8,148,4,2021,[2sG4zTOLvjKG1PSoOyf5Ej],[Brandi Carlile],[845056],[64]
4lcQHckNMeUkM8jx67j28G,Mohabbat,Vulture Prince,Arooj Aftab,F,2 021,7.71,43,pakistani indie,Arooj Aftab,36.9,23.1,A,-16.22,Major,3.15,85.2,9.6,10.8,5.16,165,4,2021,[00JAfwtx5gNiiqyor88Dr5],[Arooj Aftab],[210470],[45]
4pryE6cN2gFL1FVF5fYINl,Leave The Door Open,An Evening With Silk Sonic,"Bruno Mars,Anderson .Paak,Silk Sonic",M,2 021,4.03,69,Pop,Aftermath Entertainment/Atlantic,58.6,61.6,F,-7.96,Major,3.24,18.2,0.0,9.27,71.9,148,4,2021,"[0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,6PvvGcCY2XtUcSRld1Wilr]","[Bruno Mars,Anderson .Paak,Silk Sonic]","[61970525,2595445,910669]","[96,79,73]"
23ER2vJTvdU9FNWdhYzETY,Text You Back (feat. Bryce Vine),Text You Back (feat. Bryce Vine),"brother sundance,Bryce Vine",M,2 021,2.55,21,Rap,Warner Records,60.8,69.3,D#,-6.86,Major,24.0,8.54,0.0,5.02,75.1,167,4,2021,"[1AbcKIsIR4SV7pPdm0GRsd,1ShZZUjkbXCjhwrb18BA8I]","[brother sundance,Bryce Vine]","[8094,511030]","[24,62]"
0Bvjb6BHDKfSpaFNuASHny,Walkin',"All That Jazz, Vol. 44: Miles Davis, Vol. 3 – Cool Boplicity in Hackensack (Remastered 2015)",Miles Davis,M,2 015,13.45,18,Jazz,Jube Pops,60.5,20.5,F,-11.77,Major,5.22,86.1,45.8,11.4,48.6,126,4,2021,[0kbYTNQb4Pb1rPbbaF0pT4],[Miles Davis],[2598467],[65]
6GtJqo0vr7DqWOHQtp77cV,A Kiss To Build A Dream On,"Hello, Dolly! (Remastered)",Louis Armstrong,M,1 964,4.52,42,Jazz,Verve Reissues,58.7,27.9,C#,-10.19,Major,3.56,85.0,0.06,6.46,41.8,76,4,2021,[19eLuQmk9aCobbVDHc6eek],[Louis Armstrong],[3015899],[72]
0hMvI4iye2BtqOPL57qfya,My Sweet Lord (2020 Mix),All Things Must Pass (50th Anniversary;Super Deluxe),George Harrison,M,1 970,4.69,45,Rock,BMG Rights Management (US) LLC,54.3,73.1,F#,-8.06,Major,2.91,16.0,0.0,10.3,71.8,121,4,2021,[7FIoB5PHdrMZVC3q2HE5MS],[George Harrison],[2776666],[69]
4hq0S6wznq7SHDyMOFXL9i,Tumbling Dice,Exile On Main Street (2010 Re-Mastered),The Rolling Stones,M,1 972,3.77,59,Rock,Polydor Records,61.6,91.0,B,-4.25,Major,3.47,50.0,50.4,28.1,77.0,111,4,2021,[22bE4uQ6baNwSHPVcDxLCe],[The Rolling Stones],[14614334],[80]
1UTweT08J2Yxn5h0O7uL5e,Does Anybody Really Know What Time It Is? - 2002 Remaster,Chicago Transit Authority,Chicago,M,1 969,4.58,40,Rock,Rhino,52.5,45.9,C,-8.22,Major,7.02,72.4,0.0,50.2,26.4,118,4,2021,[3iDD7bnsjL9J4fO298r0L0],[Chicago],[4255491],[71]
032kwZ9kg4yIaIPBOOIwlm,I'll Be Your Baby Tonight,John Wesley Harding,Bob Dylan,M,1 967,2.66,37,Rock,Columbia,51.2,23.0,C,-16.41,Major,3.01,45.4,0.01,5.08,45.7,128,4,2021,[74ASZWbe4lXaubB36ztrGX],[Bob Dylan],[6669323],[74]
76ot3BABnfPJi06g7J7iBa,Conséquence,Kinavana,Kékélé,M,1 998,5.3,9,World,Syllart,71.0,87.4,G,-1.96,Major,3.1,55.1,0.03,28.7,88.0,100,4,2021,[4qjqvzyR3Kq2W9puCX2wE7],[Kékélé],[5004],[16]
24PEtqBNoKG3umCTLd2r3N,Straightenin,Culture III,Migos,M,2 021,4.25,27,Hip Hop,Quality Control Music/Motown Records,85.0,61.8,A,-5.81,Major,11.2,3.01,0.0,19.3,10.8,136,4,2021,[6oMuImdp5ZcFhWP0ESe6mG],[Migos],[14098208],[77]
6obwWXkBEYouAdP0BGthKt,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,M,2 019,2.21,51,Hip Hop,Elektra (NEK),80.3,53.5,D,-10.84,Major,11.0,17.3,0.0,27.3,36.7,150,4,2021,[1uU7g3DNSbsu0QjSEqZtEd],[Masked Wolf],[754335],[64]
7BFXQINSdAqgOmMydTGnKG,You Ain't The Problem - Claptone Remix,You Ain't The Problem (Claptone Remix),"Michael Kiwanuka,Claptone",M,2 019,2.75,50,Soul/Funk/Motown,Polydor Records,75.0,87.9,F#,-4.25,Major,3.59,0.74,0.0,29.6,65.6,124,4,2021,"[0bzfPKdbXL5ezYW2z3UGQj,4mncDFjVLUa3s025Tct3Ry]","[Michael Kiwanuka,Claptone]","[1503582,547396]","[69,63]"
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,Ella No Es Tuya (Remix),"Rochy RD,Myke Towers,Nicki Nicole",N/A,2 021,3.64,65,Rap,Sony Music Latin,58.5,61.1,F#,-4.13,Major,28.8,39.0,0.0,64.9,96.2,97,4,2021,"[4riOEaOW5hCeqomFDBk0aP,7iK8PXO48WeuP03g8YR51W,2UZIAOlrnyZmyzt1nuXr9y]","[Rochy RD,Myke Towers,Nicki Nicole]","[1330823,17163121,7785656]","[63,90,80]"
